epoch,train_loss,val_loss,lr,elapsed_s
1,31.5211,23.3041,4.90e-05,52.1
2,20.0580,16.8452,4.80e-05,15.0
3,17.2408,16.9552,4.71e-05,15.1
4,16.1859,15.3008,4.61e-05,15.1
5,14.8855,16.1680,4.52e-05,14.9
6,13.9924,14.5914,4.43e-05,14.8
7,13.2355,12.6215,4.34e-05,14.7
8,12.3365,12.6328,4.25e-05,15.0
9,11.8339,12.3723,4.17e-05,14.8
10,11.1235,12.0435,4.09e-05,14.9
11,10.5240,12.9734,4.00e-05,15.0
12,9.8803,11.1338,3.92e-05,14.7
13,9.3075,12.8665,3.85e-05,14.6
14,9.1664,12.0185,3.77e-05,14.9
15,8.5193,10.1113,3.69e-05,15.0
16,8.4883,10.0553,3.62e-05,14.8
17,8.0834,11.8508,3.55e-05,15.0
18,7.6872,10.1251,3.48e-05,14.9
19,7.5859,12.6355,3.41e-05,14.9
20,7.5027,10.3548,3.34e-05,15.2
21,7.1797,9.4713,3.27e-05,14.9
22,7.1080,9.7880,3.21e-05,14.8
23,6.7276,9.0984,3.14e-05,15.1
24,6.5389,8.7800,3.08e-05,14.8
25,6.3153,9.2982,3.02e-05,14.9
26,6.1674,8.9000,2.96e-05,14.8
27,6.1402,8.7347,2.90e-05,14.9
28,6.0365,8.6906,2.84e-05,15.2
29,5.8788,8.3343,2.78e-05,14.6
30,5.7814,8.9350,2.73e-05,14.8
31,5.6370,8.8049,2.67e-05,15.0
32,5.4622,8.9249,2.62e-05,15.2
33,5.3610,8.4371,2.57e-05,15.0
34,5.1743,9.5006,2.52e-05,15.6
35,5.2790,8.7800,2.47e-05,14.8
36,5.1360,8.7950,2.42e-05,15.1
37,4.9431,9.8092,2.37e-05,14.7
38,4.8322,9.0441,2.32e-05,14.8
39,4.8289,8.3320,2.27e-05,14.9
40,4.5647,8.3600,2.23e-05,14.8
41,4.6415,8.6971,2.18e-05,15.0
42,4.5215,8.2698,2.14e-05,14.9
43,4.5956,8.0187,2.10e-05,14.8
44,4.2707,8.2590,2.06e-05,15.0
45,4.4116,8.1469,2.01e-05,14.9
46,4.2474,8.0928,1.97e-05,14.8
47,4.2014,8.1362,1.93e-05,15.0
48,4.1098,8.1460,1.90e-05,14.9
49,4.2026,9.5603,1.86e-05,15.3
50,3.8911,7.9026,1.82e-05,15.1
51,3.8285,8.2112,1.78e-05,14.7
52,3.7840,7.7239,1.75e-05,15.1
53,3.8135,7.7722,1.71e-05,15.2
54,3.6701,7.9530,1.68e-05,14.8
55,3.6249,8.1713,1.65e-05,14.8
56,3.5369,7.6662,1.61e-05,15.0
57,3.6351,8.1364,1.58e-05,14.9
58,3.4350,8.0423,1.55e-05,15.0
59,3.4262,8.0959,1.52e-05,15.3
60,3.4484,7.8959,1.49e-05,15.0
61,3.3249,8.2620,1.46e-05,14.8
62,3.2247,7.9380,1.43e-05,15.1
63,3.2815,7.7178,1.40e-05,15.0
64,3.2596,8.2620,1.37e-05,15.5
65,3.4397,7.6864,1.34e-05,15.5
66,3.0696,7.7583,1.32e-05,15.0
67,3.0926,7.7596,1.29e-05,15.1
