epoch,train_loss,val_loss,lr,elapsed_s
1,31.4754,22.8269,4.90e-05,52.5
2,20.1935,18.0621,4.80e-05,15.1
3,17.1462,16.0696,4.71e-05,15.2
4,15.8527,18.7952,4.61e-05,14.9
5,14.8522,13.7754,4.52e-05,14.9
6,14.4507,13.3556,4.43e-05,14.9
7,13.1877,12.5160,4.34e-05,15.1
8,12.2634,12.3070,4.25e-05,15.4
9,12.2061,11.9326,4.17e-05,15.4
10,11.2121,12.6994,4.09e-05,15.3
11,10.8937,10.8677,4.00e-05,15.0
12,10.3333,11.3361,3.92e-05,15.4
13,9.7936,10.4753,3.85e-05,15.0
14,9.3796,10.1701,3.77e-05,15.1
15,9.3104,10.1059,3.69e-05,14.9
16,8.8094,9.1084,3.62e-05,14.9
17,8.8965,9.8521,3.55e-05,14.7
18,8.3446,9.6829,3.48e-05,15.3
19,8.0715,9.8292,3.41e-05,15.0
20,7.7975,10.0142,3.34e-05,14.9
21,7.7149,9.4368,3.27e-05,15.0
22,7.3700,10.3772,3.21e-05,15.1
23,6.9363,8.9453,3.14e-05,15.4
24,6.9640,11.5163,3.08e-05,15.1
25,6.7328,8.9889,3.02e-05,15.0
26,6.3915,8.4878,2.96e-05,14.9
27,6.3879,8.3368,2.90e-05,15.3
28,6.1904,8.1035,2.84e-05,14.8
29,5.9643,8.4221,2.78e-05,15.4
30,5.7441,8.1978,2.73e-05,14.9
31,5.6722,8.7656,2.67e-05,15.2
32,5.6023,7.8563,2.62e-05,15.2
33,5.3936,8.1558,2.57e-05,14.9
34,5.3542,8.4839,2.52e-05,15.1
35,5.5594,8.2814,2.47e-05,14.8
36,5.1113,8.3248,2.42e-05,14.9
37,4.9641,8.2731,2.37e-05,15.0
38,4.9453,7.6024,2.32e-05,15.0
39,4.9277,7.8611,2.27e-05,14.8
40,4.6410,7.8134,2.23e-05,15.3
41,4.5851,7.4616,2.18e-05,15.1
42,4.5246,7.2330,2.14e-05,14.9
43,4.4486,7.7477,2.10e-05,15.2
44,4.3445,8.3639,2.06e-05,14.9
45,4.1550,8.5946,2.01e-05,15.2
46,4.2268,7.5430,1.97e-05,14.8
47,4.2579,7.7455,1.93e-05,14.9
48,4.2708,7.5385,1.90e-05,15.7
49,4.2466,7.6465,1.86e-05,15.2
50,4.0250,7.9580,1.82e-05,15.0
51,3.9527,7.4530,1.78e-05,15.2
52,3.7923,7.1307,1.75e-05,15.0
53,3.7470,7.2593,1.71e-05,14.8
54,3.6581,7.6815,1.68e-05,15.1
55,3.6934,7.4400,1.65e-05,14.8
56,3.5968,7.2238,1.61e-05,14.8
57,3.5446,7.2233,1.58e-05,14.8
58,3.6359,7.6511,1.55e-05,15.1
59,3.5350,9.8680,1.52e-05,15.2
60,3.3744,7.3084,1.49e-05,14.8
61,3.2575,7.6914,1.46e-05,14.9
62,3.3151,7.5319,1.43e-05,15.6
63,3.1692,7.3565,1.40e-05,15.1
64,3.2405,7.2559,1.37e-05,15.5
65,3.2389,7.3615,1.34e-05,15.1
66,3.0919,7.9034,1.32e-05,15.1
67,2.9462,7.5479,1.29e-05,15.2
68,3.1345,7.3034,1.27e-05,14.9
69,2.9949,7.2658,1.24e-05,14.8
70,3.0391,7.3477,1.22e-05,14.9
71,2.9568,7.0162,1.19e-05,15.0
72,2.8451,7.8954,1.17e-05,15.1
73,3.0865,7.5643,1.14e-05,15.0
74,2.8054,7.1742,1.12e-05,15.1
