epoch,train_loss,val_loss,lr,elapsed_s
1,6.1979,0.6526,1.00e-03,51.3
2,0.5062,0.5981,1.00e-03,33.9
3,0.4404,0.5486,1.00e-03,34.1
4,0.3986,0.5331,1.00e-03,34.2
5,0.3621,0.5149,1.00e-03,33.8
6,0.3414,0.5106,1.00e-03,34.0
7,0.3170,0.5042,1.00e-03,33.9
8,0.2966,0.4674,1.00e-03,34.2
9,0.2805,0.4751,1.00e-03,34.1
10,0.2654,0.4616,1.00e-03,34.1
11,0.2914,0.4321,3.00e-04,105.8
12,0.2313,0.3553,3.00e-04,89.8
13,0.2149,0.3796,3.00e-04,89.8
14,0.2132,0.4317,3.00e-04,90.1
15,0.2089,0.3837,3.00e-04,89.9
16,0.2178,0.3762,3.00e-04,89.7
17,0.2100,0.3229,3.00e-04,89.8
18,0.1937,0.3166,3.00e-04,89.6
19,0.2006,0.3518,3.00e-04,89.8
20,0.1991,0.3647,3.00e-04,90.0
21,0.1861,0.3680,3.00e-04,89.8
22,0.1855,0.3674,3.00e-04,89.9
23,0.1892,0.3253,3.00e-04,89.8
24,0.1823,0.3297,1.50e-04,89.7
25,0.1388,0.3255,1.50e-04,89.6
26,0.1327,0.3208,1.50e-04,89.7
27,0.1309,0.3134,1.50e-04,89.7
28,0.1166,0.3495,1.50e-04,89.7
29,0.1125,0.3180,1.50e-04,89.7
30,0.1055,0.2987,1.50e-04,89.7
31,0.1019,0.3362,1.50e-04,89.8
32,0.1012,0.3142,1.50e-04,89.9
33,0.1048,0.3173,1.50e-04,89.8
34,0.1209,0.3242,1.50e-04,89.7
35,0.1238,0.3296,1.50e-04,89.6
36,0.1056,0.3118,7.50e-05,89.6
37,0.0843,0.3050,7.50e-05,89.7
38,0.0780,0.3035,7.50e-05,89.6
39,0.0770,0.2928,7.50e-05,89.7
40,0.0757,0.3050,7.50e-05,89.5
41,0.0768,0.3075,7.50e-05,89.5
42,0.0738,0.3094,7.50e-05,89.5
43,0.0753,0.3053,7.50e-05,89.4
44,0.0754,0.3080,7.50e-05,89.7
45,0.0757,0.3155,3.75e-05,89.8
46,0.0677,0.3054,3.75e-05,89.6
47,0.0630,0.3104,3.75e-05,89.6
48,0.0620,0.3017,3.75e-05,89.8
49,0.0607,0.3148,3.75e-05,89.5
50,0.0614,0.3080,3.75e-05,89.4
51,0.0621,0.3150,1.87e-05,89.8
52,0.0568,0.3043,1.87e-05,89.7
53,0.0551,0.3039,1.87e-05,89.6
54,0.0538,0.3101,1.87e-05,89.7
