epoch,train_loss,val_loss,lr,elapsed_s
1,1.4622,1.3006,1.00e-03,18.7
2,1.3082,1.2445,1.00e-03,17.8
3,1.2658,1.2284,1.00e-03,18.4
4,1.2381,1.2606,1.00e-03,18.1
5,1.2137,1.2109,1.00e-03,18.6
6,1.1947,1.1874,1.00e-03,17.9
7,1.1861,1.1751,1.00e-03,18.4
8,1.1710,1.1788,1.00e-03,18.2
9,1.1615,1.1390,1.00e-03,17.9
10,1.1471,1.1634,1.00e-03,18.1
11,0.9302,0.8576,3.00e-04,35.6
12,0.7617,0.7968,3.00e-04,35.0
13,0.6847,0.7456,3.00e-04,34.7
14,0.6403,0.7288,3.00e-04,34.9
15,0.6080,0.7290,3.00e-04,34.9
16,0.5836,0.6923,3.00e-04,35.0
17,0.5555,0.6775,3.00e-04,34.8
18,0.5393,0.6657,3.00e-04,35.1
19,0.5224,0.6999,3.00e-04,35.0
20,0.5076,0.6809,3.00e-04,35.2
21,0.5009,0.7226,3.00e-04,35.4
22,0.4908,0.7494,3.00e-04,35.4
23,0.4834,1.0715,3.00e-04,35.2
24,0.4771,1.1265,1.50e-04,35.5
25,0.4048,1.0133,1.50e-04,35.5
26,0.3622,0.9087,1.50e-04,35.5
27,0.3512,0.8180,1.50e-04,35.3
28,0.3363,0.8453,1.50e-04,35.8
29,0.3267,0.8520,1.50e-04,35.6
30,0.3257,0.8264,7.50e-05,35.7
31,0.2792,0.7432,7.50e-05,35.5
32,0.2616,0.7816,7.50e-05,36.0
33,0.2538,0.7638,7.50e-05,35.7
